Test accuracy,weighted avg precision,weighted avg recall,weighted avg f1-score,True Positive,False Positive,False Negative,True Negative,Sensitivity score,Specificity,Avg_5KCV_Score,model_name,features_used
0.7473309608540926,0.75,0.75,0.75,96,45,26,114,0.7868852459016393,0.7169811320754716,0.740493136756482,ExtraTreesClassifier(),ECFP4_Fingerprints
0.6298932384341637,0.63,0.63,0.63,87,54,50,90,0.635036496350365,0.625,0.6613751906456533,AdaBoostClassifier(),ECFP4_Fingerprints
0.6868327402135231,0.69,0.69,0.69,103,38,50,90,0.673202614379085,0.703125,0.7262328418912048,LogisticRegression(),ECFP4_Fingerprints
0.7544483985765125,0.77,0.75,0.75,89,52,17,123,0.839622641509434,0.7028571428571428,0.7526054905948144,SVC(),ECFP4_Fingerprints
0.608540925266904,0.62,0.61,0.60,109,32,78,62,0.5828877005347594,0.6595744680851063,0.6341891204880529,GaussianNB(),ECFP4_Fingerprints
0.7330960854092526,0.75,0.73,0.73,88,53,22,118,0.8,0.6900584795321637,0.7248373157092018,RandomForestClassifier(),ECFP4_Fingerprints
0.7686832740213523,0.77,0.77,0.77,110,32,33,106,0.7692307692307693,0.7681159420289855,0.7561387900355871,ExtraTreesClassifier(),MACCS_Fingerprints
0.6903914590747331,0.69,0.69,0.69,92,50,37,102,0.7131782945736435,0.6710526315789473,0.6763065582104728,AdaBoostClassifier(),MACCS_Fingerprints
0.6654804270462633,0.67,0.67,0.67,97,45,49,90,0.6643835616438356,0.6666666666666666,0.6291433655312659,LogisticRegression(),MACCS_Fingerprints
0.7402135231316725,0.74,0.74,0.74,109,33,40,99,0.7315436241610739,0.75,0.7204397559735638,SVC(),MACCS_Fingerprints
0.6192170818505338,0.70,0.62,0.57,134,8,99,40,0.575107296137339,0.8333333333333334,0.5677758007117438,GaussianNB(),MACCS_Fingerprints
0.7580071174377224,0.76,0.76,0.76,109,33,35,104,0.7569444444444444,0.7591240875912408,0.7240671072699543,RandomForestClassifier(),MACCS_Fingerprints
0.697508896797153,0.70,0.70,0.70,93,40,45,103,0.6739130434782609,0.7202797202797203,0.7690086426029487,ExtraTreesClassifier(),Morgan_Fingerprints
0.6583629893238434,0.66,0.66,0.66,89,44,52,96,0.6312056737588653,0.6857142857142857,0.6877300457549568,AdaBoostClassifier(),Morgan_Fingerprints
0.6441281138790036,0.65,0.64,0.64,96,37,63,85,0.6037735849056604,0.6967213114754098,0.7047635993899339,LogisticRegression(),Morgan_Fingerprints
0.7437722419928826,0.74,0.74,0.74,91,42,30,118,0.7520661157024794,0.7375,0.769023894255211,SVC(),Morgan_Fingerprints
0.6370106761565836,0.67,0.64,0.63,109,24,78,70,0.5828877005347594,0.7446808510638298,0.6491611591255719,GaussianNB(),Morgan_Fingerprints
0.7224199288256228,0.72,0.72,0.72,85,48,30,118,0.7391304347826086,0.7108433734939759,0.7290899847483477,RandomForestClassifier(),Morgan_Fingerprints
0.7686832740213523,0.77,0.77,0.77,110,36,29,106,0.7913669064748201,0.7464788732394366,0.7682689374682257,ExtraTreesClassifier(),RDKit_Descriptors
0.6619217081850534,0.66,0.66,0.66,98,48,47,88,0.6758620689655173,0.6470588235294118,0.6555948144382308,AdaBoostClassifier(),RDKit_Descriptors
0.6476868327402135,0.65,0.65,0.65,95,51,48,87,0.6643356643356644,0.6304347826086957,0.6319750889679715,LogisticRegression(),RDKit_Descriptors
0.697508896797153,0.70,0.70,0.70,102,44,41,94,0.7132867132867133,0.6811594202898551,0.6719217081850534,SVC(),RDKit_Descriptors
0.5160142348754448,0.55,0.52,0.46,30,116,20,115,0.6,0.49783549783549785,0.5527300457549568,GaussianNB(),RDKit_Descriptors
0.7829181494661922,0.78,0.78,0.78,114,32,29,106,0.7972027972027972,0.7681159420289855,0.7326131164209456,RandomForestClassifier(),RDKit_Descriptors
0.7758007117437722,0.79,0.78,0.78,109,45,18,109,0.8582677165354331,0.7077922077922078,0.7547407219115404,ExtraTreesClassifier(),RDKit_Fingerprints
0.6725978647686833,0.68,0.67,0.67,99,55,37,90,0.7279411764705882,0.6206896551724138,0.6791713268937468,AdaBoostClassifier(),RDKit_Fingerprints
0.7330960854092526,0.73,0.73,0.73,125,29,46,81,0.7309941520467836,0.7363636363636363,0.7319115404168784,LogisticRegression(),RDKit_Fingerprints
0.7544483985765125,0.76,0.75,0.75,111,43,26,101,0.8102189781021898,0.7013888888888888,0.7404778851042196,SVC(),RDKit_Fingerprints
0.5622775800711743,0.57,0.56,0.56,86,68,55,72,0.6099290780141844,0.5142857142857142,0.5905922724961871,GaussianNB(),RDKit_Fingerprints
0.7580071174377224,0.78,0.76,0.76,103,51,17,110,0.8583333333333333,0.6832298136645962,0.73266395526182,RandomForestClassifier(),RDKit_Fingerprints
