Test accuracy,weighted avg precision,weighted avg recall,weighted avg f1-score,True Positive,False Positive,False Negative,True Negative,Sensitivity score,Specificity,Avg_5KCV_Score,model_name,features_used
0.7680995475113123,0.77,0.77,0.77,352,108,97,327,0.7839643652561247,0.7517241379310344,0.7714186519629195,ExtraTreesClassifier(),ECFP4_Fingerprints
0.7092760180995475,0.71,0.71,0.71,348,112,145,279,0.7058823529411765,0.7135549872122762,0.6901664420450644,AdaBoostClassifier(),ECFP4_Fingerprints
0.6628959276018099,0.66,0.66,0.66,294,166,132,292,0.6901408450704225,0.6375545851528385,0.6516728757885243,LogisticRegression(),ECFP4_Fingerprints
0.748868778280543,0.75,0.75,0.75,338,122,100,324,0.771689497716895,0.726457399103139,0.7188940930497122,SVC(),ECFP4_Fingerprints
0.6391402714932126,0.64,0.64,0.64,334,126,193,231,0.6337760910815939,0.6470588235294118,0.6061365255223092,GaussianNB(),ECFP4_Fingerprints
0.7692307692307693,0.77,0.77,0.77,362,98,106,318,0.7735042735042735,0.7644230769230769,0.7533165422280071,RandomForestClassifier(),ECFP4_Fingerprints
0.7737556561085973,0.77,0.77,0.77,353,100,100,331,0.7792494481236203,0.7679814385150812,0.7625912792157546,ExtraTreesClassifier(),MACCS_Fingerprints
0.6923076923076923,0.69,0.69,0.69,329,124,148,283,0.689727463312369,0.6953316953316954,0.6795168158734877,AdaBoostClassifier(),MACCS_Fingerprints
0.6719457013574661,0.67,0.67,0.67,307,146,144,287,0.6807095343680709,0.6628175519630485,0.6575352433856197,LogisticRegression(),MACCS_Fingerprints
0.747737556561086,0.75,0.75,0.75,350,103,120,311,0.7446808510638298,0.751207729468599,0.7211444940377056,SVC(),MACCS_Fingerprints
0.580316742081448,0.66,0.58,0.53,116,337,34,397,0.7733333333333333,0.5408719346049047,0.5710796697806224,GaussianNB(),MACCS_Fingerprints
0.7386877828054299,0.74,0.74,0.74,351,102,129,302,0.73125,0.7475247524752475,0.7435849607723567,RandomForestClassifier(),MACCS_Fingerprints
0.7941176470588235,0.80,0.79,0.79,355,73,109,347,0.7650862068965517,0.8261904761904761,0.7748135982330906,ExtraTreesClassifier(),Morgan_Fingerprints
0.6923076923076923,0.70,0.69,0.69,321,107,165,291,0.6604938271604939,0.7311557788944724,0.6831490240490307,AdaBoostClassifier(),Morgan_Fingerprints
0.6798642533936652,0.68,0.68,0.68,272,156,127,329,0.681704260651629,0.6783505154639176,0.676348370169568,LogisticRegression(),Morgan_Fingerprints
0.7409502262443439,0.74,0.74,0.74,322,106,123,333,0.7235955056179775,0.7585421412300684,0.711191536463004,SVC(),Morgan_Fingerprints
0.6515837104072398,0.66,0.65,0.65,319,109,199,257,0.6158301158301158,0.7021857923497268,0.6185873948847768,GaussianNB(),Morgan_Fingerprints
0.7737556561085973,0.78,0.77,0.77,359,69,131,325,0.7326530612244898,0.8248730964467005,0.7576228714327442,RandomForestClassifier(),Morgan_Fingerprints
0.7669683257918553,0.77,0.77,0.77,311,104,102,367,0.7530266343825666,0.7791932059447984,0.7788793346417755,ExtraTreesClassifier(),RDKit_Descriptors
0.7115384615384616,0.71,0.71,0.71,285,130,125,344,0.6951219512195121,0.7257383966244726,0.6892489097738581,AdaBoostClassifier(),RDKit_Descriptors
0.6447963800904978,0.65,0.64,0.65,276,139,175,294,0.6119733924611973,0.6789838337182448,0.6502923497127747,LogisticRegression(),RDKit_Descriptors
0.6877828054298643,0.69,0.69,0.69,282,133,143,326,0.6635294117647059,0.710239651416122,0.6933049097328626,SVC(),RDKit_Descriptors
0.5554298642533937,0.59,0.56,0.46,52,363,30,439,0.6341463414634146,0.5473815461346634,0.5402930158909107,GaussianNB(),RDKit_Descriptors
0.7647058823529411,0.77,0.76,0.76,316,99,109,360,0.7435294117647059,0.7843137254901961,0.7648483419851083,RandomForestClassifier(),RDKit_Descriptors
0.7771493212669683,0.78,0.78,0.78,345,87,110,342,0.7582417582417582,0.7972027972027972,0.7666667520741199,ExtraTreesClassifier(),RDKit_Fingerprints
0.7160633484162896,0.72,0.72,0.72,311,121,130,322,0.7052154195011338,0.7268623024830699,0.6885804256365845,AdaBoostClassifier(),RDKit_Fingerprints
0.6821266968325792,0.68,0.68,0.68,273,159,122,330,0.6911392405063291,0.6748466257668712,0.6910583520802693,LogisticRegression(),RDKit_Fingerprints
0.751131221719457,0.75,0.75,0.75,344,88,132,320,0.7226890756302521,0.7843137254901961,0.740853374192259,SVC(),RDKit_Fingerprints
0.5893665158371041,0.59,0.59,0.59,237,195,168,284,0.5851851851851851,0.592901878914405,0.6052410283740641,GaussianNB(),RDKit_Fingerprints
0.7409502262443439,0.74,0.74,0.74,337,95,134,318,0.7154989384288747,0.7699757869249395,0.7431334969740139,RandomForestClassifier(),RDKit_Fingerprints
